art_work_id,art_work_url,art_work_url_locale,art_work_preview,artwork_desc,price,original_price,flexible_price,seo_prefix,seo_suffix,type,custom_banner_img,custom_banner_href,custom_banner_text,video_sprite,price_numeric,original_price_numeric,no_index,item_option,device_short_desc,product_short_desc,category_display_name,item_type_description,device_short_name,custom_image_artwork_id,artwork_disallow_discount,price_usd,artwork_status,product_suffix,product_type_id,artwork_meta,device_type_id,availability,color_options,full_color_options_count,_score,tags.productMeta.dlp_print_highlight_key,tags.productMeta.dlp_customizer_highlight_key,tags.isColabArtwork,tags.Customizable,tags.ArtworkGroup,tags.promotionArtwork,tags.isArtist,tags.artistName,tags.artistUrl,tags.isInfluencer,tags.isBfcmWhitelist,tags.productMeta
11895587,/product/rZfXc_camera-case---classic/iphone-15-pro-max/impact-ring-stand-case-magsafe-compatible#/16005988,/product/rZfXc_camera-case---classic/iphone-15-pro-max/impact-ring-stand-case-magsafe-compatible#/16005988,https://cdn-image02.casetify.com/usr/16571/16546571/~v4784/11895587_iphone-15-pro-max__color_natural-titanium_16005988.png.350x350-r.m80.webp,Camera Case - Classic,$82,,,iPhone 15 Pro Max,,artwork,,,,,82,,True,16005988,iPhone 15 Pro Max,Impact Ring Stand Case MagSafe Compatible,iPhone,Black,iphone-15-pro-max,,False,82,N,Case,1317,,1062,A,"[16005988, 16006737, 16006739, 16006741]",4,,DLP_HIGHLIGHT_MAGSAFE,DLP_HIGHLIGHT_MAGSAFE,False,False,,False,False,,,False,False,
27051146,/product/boo-things/iphone-15-pro-max/ultra-bounce-case-magsafe-compatible#/16005996,/product/boo-things/iphone-15-pro-max/ultra-bounce-case-magsafe-compatible#/16005996,https://cdn-image02.casetify.com/usr/18313/22068313/~v183/27051146_iphone-15-pro-max__color_natural-titanium_16005996.png.350x350-r.m80.webp,Boo Things,$112,,,iPhone 15 Pro Max,,artwork,,,,,112,,True,16005996,iPhone 15 Pro Max,Ultra Bounce Case MagSafe Compatible,iPhone,Black,iphone-15-pro-max,,False,112,N,Case,1318,,1062,A,[16005996],1,,DLP_HIGHLIGHT_MAGSAFE,DLP_HIGHLIGHT_MAGSAFE,False,False,,False,True,Kira Cyan,/artist/kiracyan,False,False,
32329217,/product/PzNIa_stamp-collection/iphone-15-pro-max/bounce-case#/16006200,/product/PzNIa_stamp-collection/iphone-15-pro-max/bounce-case#/16006200,https://cdn-image02.casetify.com/usr/18313/22068313/~v184/32329217_iphone-15-pro-max__color_natural-titanium_16006200.png.350x350-r.m80.webp,Stamp Collection,$82,,,iPhone 15 Pro Max,,artwork,,,,,82,,True,16006200,iPhone 15 Pro Max,Bounce Case MagSafe Compatible,iPhone,Cotton Candy,iphone-15-pro-max,,False,82,N,Case,1154,,1062,A,"[16005992, 16005993, 16005994, 16006200, 16006961, 16006965, 16006969]",7,,DLP_HIGHLIGHT_MAGSAFE,DLP_HIGHLIGHT_MAGSAFE,False,False,,False,True,Kira Cyan,/artist/kiracyan,False,False,
15523580,/product/color-cloud--a-new-thing-is-on-the-way---by-jessica-poundstone/iphone-15-pro-max/impact-ring-stand-case-magsafe-compatible#/16005988,/product/color-cloud--a-new-thing-is-on-the-way---by-jessica-poundstone/iphone-15-pro-max/impact-ring-stand-case-magsafe-compatible#/16005988,https://cdn-image02.casetify.com/usr/1146/16111146/~v7684/15523580_iphone-15-pro-max__color_natural-titanium_16005988.png.350x350-r.m80.webp,Color Cloud: A New Thing Is On The Way,$82,,,iPhone 15 Pro Max,,artwork,,,,,82,,True,16005988,iPhone 15 Pro Max,Impact Ring Stand Case MagSafe Compatible,iPhone,Black,iphone-15-pro-max,,False,82,N,Case,1317,,1062,A,"[16005988, 16006737, 16006739, 16006741]",4,,DLP_HIGHLIGHT_MAGSAFE,DLP_HIGHLIGHT_MAGSAFE,False,False,Color Cloud,False,True,designlovefest,,False,False,
16583393,/product/bright-spring-flowers---daisy-floral-pattern/iphone-15-pro-max/magsafe-compatible-impact-case#/16005984,/product/bright-spring-flowers---daisy-floral-pattern/iphone-15-pro-max/magsafe-compatible-impact-case#/16005984,https://cdn-image02.casetify.com/usr/25496/1195496/~v6382/16583393_iphone-15-pro-max__color_natural-titanium_16005984.png.350x350-r.m80.webp,bright spring flowers - daisy floral pattern,$72,,,iPhone 15 Pro Max,,artwork,,,,,72,,True,16005984,iPhone 15 Pro Max,Impact Case MagSafe Compatible,iPhone,Classic Blue,iphone-15-pro-max,,False,72,N,Case,1204,,1062,A,"[16005982, 16005983, 16005984, 16006196, 16006878]",5,,DLP_HIGHLIGHT_MAGSAFE,DLP_HIGHLIGHT_MAGSAFE,False,False,,False,True,Marta Olga Klara,/artist/marta-olga-klara,False,False,
30271300,/product/you-are-stars-collage/iphone-15-pro-max/magsafe-compatible-impact-case#/16005984,/product/you-are-stars-collage/iphone-15-pro-max/magsafe-compatible-impact-case#/16005984,https://cdn-image02.casetify.com/usr/10369/24100369/~v182/30271300_iphone-15-pro-max__color_natural-titanium_16005984.png.350x350-r.m80.webp,You Are Stars Collage,$72,,,iPhone 15 Pro Max,,artwork,,,,,72,,True,16005984,iPhone 15 Pro Max,Impact Case MagSafe Compatible,iPhone,Classic Blue,iphone-15-pro-max,,False,72,N,Case,1204,,1062,A,"[16005982, 16005983, 16005984, 16006196, 16006878]",5,,DLP_HIGHLIGHT_MAGSAFE,DLP_HIGHLIGHT_MAGSAFE,False,False,,False,True,Eggsdoodz,/artist/eggsdoodz,False,False,
26435159,/product/black-kingsnake/iphone-15-pro-max/recasetify-impact-case#/16005971,/product/black-kingsnake/iphone-15-pro-max/recasetify-impact-case#/16005971,https://cdn-image02.casetify.com/usr/16571/16546571/~v4182/26435159_iphone-15-pro-max__color_natural-titanium_16005971.png.350x350-r.m80.webp,Black Kingsnake,$68,,,iPhone 15 Pro Max,,artwork,,,,,68,,True,16005971,iPhone 15 Pro Max,Impact Case,iPhone,Matte Black,iphone-15-pro-max,,False,68,N,Case,1203,,1062,A,"[16005970, 16005971, 16005972, 16006192, 16006874]",5,,DLP_HIGHLIGHT_RECASETiFY,DLP_HIGHLIGHT_RECASETiFY,False,False,,False,False,,,False,False,
30295856,/product/chrome-doodles-case/iphone-15-pro-max/clear-case#/16006058,/product/chrome-doodles-case/iphone-15-pro-max/clear-case#/16006058,https://cdn-image02.casetify.com/usr/16571/16546571/~v784/30295856_iphone-15-pro-max__color_natural-titanium_16006058.png.350x350-r.m80.webp,Chrome Doodles,$72,,,iPhone 15 Pro Max,,artwork,,,,,72,,True,16006058,iPhone 15 Pro Max,Clear Case MagSafe Compatible,iPhone,Clear,iphone-15-pro-max,,False,72,N,Case,1181,,1062,A,"[16006058, 16006589]",2,,DLP_HIGHLIGHT_MAGSAFE,DLP_HIGHLIGHT_MAGSAFE,False,False,Chrome Doodles,False,False,,,False,False,
30428993,/product/star-marks-case/iphone-15-pro-max/clear-case#/16006058,/product/star-marks-case/iphone-15-pro-max/clear-case#/16006058,https://cdn-image02.casetify.com/usr/16571/16546571/~v184/30428993_iphone-15-pro-max__color_natural-titanium_16006058.png.350x350-r.m80.webp,Star Marks,$72,,,iPhone 15 Pro Max,,artwork,,,,,72,,True,16006058,iPhone 15 Pro Max,Clear Case MagSafe Compatible,iPhone,Clear,iphone-15-pro-max,,False,72,N,Case,1181,,1062,A,"[16006058, 16006589]",2,,DLP_HIGHLIGHT_MAGSAFE,DLP_HIGHLIGHT_MAGSAFE,False,False,,False,False,,,False,False,
32349846,/product/sonny-angel-harvest-heart-strawberry-atwgp2/iphone-15-pro-max/ultra-bounce-case-magsafe-compatible#/16005996,/product/sonny-angel-harvest-heart-strawberry-atwgp2/iphone-15-pro-max/ultra-bounce-case-magsafe-compatible#/16005996,https://cdn-image02.casetify.com/usr/4787/34787/~v183/32349846_iphone-15-pro-max__color_natural-titanium_16005996.png.350x350-r.m80.webp,Sonny Angel Harvest Heart Strawberry,$112,,,iPhone 15 Pro Max,,artwork,,,,,112,,True,16005996,iPhone 15 Pro Max,Ultra Bounce Case MagSafe Compatible,iPhone,Black,iphone-15-pro-max,,True,112,N,Case,1318,,1062,A,[16005996],1,,DLP_HIGHLIGHT_MAGSAFE,DLP_HIGHLIGHT_MAGSAFE,True,False,Sonny Angel Harvest Heart Strawberry,False,False,,,False,False,
